Date,BTC_weighted_price,BTC_volume,BTC_open,BTC_high,BTC_low,BTC_close,BTC_pcnt_change,ETH_weighted_price,ETH_volume,ETH_open,ETH_high,ETH_low,ETH_close,ETH_pcnt_change,LTC_weighted_price,LTC_volume,LTC_open,LTC_high,LTC_low,LTC_close,LTC_pcnt_change
2011-12-18,3.39792874895,17.24285714,3.25,3.5,3.25,3.5,7.6923076923076925,,,,,,,,,,,,,,
2011-12-19,3.8096681176,134.73429197,3.5,3.98,3.5,3.85,10.000000000000002,,,,,,,,,,,,,,
2011-12-20,4.57003034577,94.74335338,4.75,4.75,4.53,4.55,-4.210526315789478,,,,,,,,,,,,,,
2011-12-21,4.38,20.89954338,4.38,4.38,4.38,4.38,0.0,,,,,,,,,,,,,,
2011-12-22,4.18381884481,8.53526439,4.19,4.19,4.17,4.17,-0.477326968973758,,,,,,,,,,,,,,
2011-12-23,4.18625701649,149.49256188,3.86,4.35,3.84,4.22,9.326424870466319,,,,,,,,,,,,,,
2011-12-24,4.33,27.22479474,4.33,4.33,4.33,4.33,0.0,,,,,,,,,,,,,,
2011-12-25,4.30397596469,24.182423,4.32,4.32,4.27,4.27,-1.1574074074074239,,,,,,,,,,,,,,
2011-12-26,4.29600078561,56.73660508,4.27,4.33,4.27,4.33,1.4051522248243677,,,,,,,,,,,,,,
2011-12-27,4.31066492956,58.07386739,4.33,4.33,4.29,4.29,-0.9237875288683611,,,,,,,,,,,,,,
2011-12-28,4.26789587568,35.55011655,4.29,4.3,4.25,4.3,0.23310023310022812,,,,,,,,,,,,,,
2011-12-29,4.34832112065,36.56096221,4.3,4.5,4.3,4.5,4.651162790697678,,,,,,,,,,,,,,
2011-12-30,4.23234753066,56.74004969,4.26,4.5,4.21,4.21,-1.1737089201877893,,,,,,,,,,,,,,
2011-12-31,4.4621255323,95.3178781,4.39,4.58,4.39,4.58,4.328018223234634,,,,,,,,,,,,,,
2012-01-01,4.89672993241,21.602,4.58,5.0,4.58,5.0,9.170305676855893,,,,,,,,,,,,,,
2012-01-02,5.0,19.048,5.0,5.0,5.0,5.0,0.0,,,,,,,,,,,,,,
2012-01-03,5.27964067777,88.03728092,5.32,5.32,5.14,5.29,-0.5639097744360949,,,,,,,,,,,,,,
